CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster,Cluster_Name
12418,113,1,668.58,2,1,3,213,Lost Customers,0,Regular Customers
12420,64,1,600.39,3,1,3,313,Potential Loyalists,0,Regular Customers
12421,16,5,806.27,4,4,3,443,Loyal Customers,0,Regular Customers
12422,96,3,803.5600000000001,2,3,3,233,At Risk,0,Regular Customers
12423,1,9,1849.11,5,5,4,554,Champions,0,Regular Customers
12424,163,2,1760.96,2,2,4,224,Lost Customers,1,Lost Customers
12425,78,1,777.2,2,1,3,213,Lost Customers,0,Regular Customers
12426,195,1,582.73,1,1,3,113,Lost Customers,1,Lost Customers
12427,12,5,708.37,4,4,3,443,Loyal Customers,0,Regular Customers
12428,26,12,7877.2,4,5,5,455,Champions,0,Regular Customers
12429,9,4,3750.4,5,3,5,535,Loyal Customers,0,Regular Customers
12430,43,1,256.4,3,1,2,312,Potential Loyalists,0,Regular Customers
12431,36,18,6416.39,3,5,5,355,Loyal Customers,0,Regular Customers
12432,43,5,5059.32,3,4,5,345,Loyal Customers,0,Regular Customers
12433,1,7,13375.87,5,4,5,545,Champions,0,Regular Customers
12434,85,4,765.19,2,3,3,233,At Risk,0,Regular Customers
12435,80,2,7829.89,2,2,5,225,Lost Customers,0,Regular Customers
12436,100,1,509.01,2,1,3,213,Lost Customers,0,Regular Customers
12437,2,19,4896.66,5,5,5,555,Champions,0,Regular Customers
12438,14,2,2906.85,4,2,5,425,New Customers,0,Regular Customers
12441,367,1,173.55,1,1,1,111,Lost Customers,1,Lost Customers
12442,3,1,172.06,5,1,1,511,New Customers,0,Regular Customers
12444,21,5,5005.46,4,4,5,445,Champions,0,Regular Customers
12445,22,1,133.4,4,1,1,411,New Customers,0,Regular Customers
12446,58,1,1002.31,3,1,4,314,Potential Loyalists,0,Regular Customers
12447,243,1,476.49,1,1,2,112,Lost Customers,1,Lost Customers
12448,44,1,449.45,3,1,2,312,Potential Loyalists,0,Regular Customers
12449,22,4,4067.29,4,3,5,435,Loyal Customers,0,Regular Customers
12450,156,2,197.88,2,2,1,221,Lost Customers,1,Lost Customers
12451,11,6,8933.52,5,4,5,545,Champions,0,Regular Customers
12452,17,3,428.57,4,3,2,432,Potential Loyalists,0,Regular Customers
12453,134,1,707.09,2,1,3,213,Lost Customers,0,Regular Customers
12454,53,2,5.684341886080803e-14,3,2,1,321,Potential Loyalists,0,Regular Customers
12455,73,6,2466.86,2,4,5,245,At Risk,0,Regular Customers
12456,44,4,3153.89,3,3,5,335,Loyal Customers,0,Regular Customers
12457,58,12,1917.78,3,5,4,354,Loyal Customers,0,Regular Customers
12458,71,2,947.4,2,2,4,224,Lost Customers,0,Regular Customers
12461,94,2,826.88,2,2,3,223,Lost Customers,0,Regular Customers
12462,2,4,1124.01,5,3,4,534,Loyal Customers,0,Regular Customers
12463,46,7,1303.63,3,4,4,344,Loyal Customers,0,Regular Customers
12464,10,8,1212.05,5,5,4,554,Champions,0,Regular Customers
12465,8,3,733.89,5,3,3,533,Loyal Customers,0,Regular Customers
12468,143,3,724.04,2,3,3,233,At Risk,1,Lost Customers
12471,2,49,18740.92,5,5,5,555,Champions,3,Loyal High Spenders
12472,31,13,6229.48,4,5,5,455,Champions,0,Regular Customers
12473,29,9,2848.23,4,5,5,455,Champions,0,Regular Customers
12474,17,30,7116.47,4,5,5,455,Champions,3,Loyal High Spenders
12475,54,1,723.38,3,1,3,313,Potential Loyalists,0,Regular Customers
12476,1,20,6546.58,5,5,5,555,Champions,0,Regular Customers
12477,23,9,13117.01,4,5,5,455,Champions,0,Regular Customers
12478,4,1,680.99,5,1,3,513,New Customers,0,Regular Customers
12479,4,3,477.3,5,3,2,532,Potential Loyalists,0,Regular Customers
12480,28,4,3281.63,4,3,5,435,Loyal Customers,0,Regular Customers
12481,23,11,5590.86,4,5,5,455,Champions,0,Regular Customers
12483,17,13,2327.13,4,5,5,455,Champions,0,Regular Customers
12484,33,8,4495.27,3,5,5,355,Loyal Customers,0,Regular Customers
12488,10,3,1298.66,5,3,4,534,Loyal Customers,0,Regular Customers
12489,336,1,334.93,1,1,2,112,Lost Customers,1,Lost Customers
12490,5,10,5417.93,5,5,5,555,Champions,0,Regular Customers
12491,39,1,460.4,3,1,2,312,Potential Loyalists,0,Regular Customers
12492,63,2,263.21000000000004,3,2,2,322,Potential Loyalists,0,Regular Customers
12493,166,3,416.79,2,3,2,232,At Risk,1,Lost Customers
12494,10,13,1139.35,5,5,4,554,Champions,0,Regular Customers
12497,82,1,1043.1,2,1,4,214,Lost Customers,0,Regular Customers
12498,21,3,403.7000000000001,4,3,2,432,Potential Loyalists,0,Regular Customers
12500,23,13,4206.2699999999995,4,5,5,455,Champions,0,Regular Customers
12501,315,2,2089.68,1,2,5,125,Lost Customers,1,Lost Customers
12502,96,5,3723.87,2,4,5,245,At Risk,0,Regular Customers
12504,18,4,114.0,4,3,1,431,Potential Loyalists,0,Regular Customers
12506,233,1,73.5,1,1,1,111,Lost Customers,1,Lost Customers
12507,134,4,1258.06,2,3,4,234,At Risk,0,Regular Customers
12508,26,2,398.27,4,2,2,422,New Customers,0,Regular Customers
12509,284,1,176.5,1,1,1,111,Lost Customers,1,Lost Customers
12510,143,2,982.57,2,2,4,224,Lost Customers,1,Lost Customers
12512,66,2,138.03,3,2,1,321,Potential Loyalists,0,Regular Customers
12513,85,2,586.79,2,2,3,223,Lost Customers,0,Regular Customers
12514,267,1,1017.68,1,1,4,114,Lost Customers,1,Lost Customers
12515,353,1,383.7,1,1,2,112,Lost Customers,1,Lost Customers
12516,78,2,1312.06,2,2,4,224,Lost Customers,0,Regular Customers
12517,28,6,2464.89,4,4,5,445,Champions,0,Regular Customers
12518,1,5,2056.89,5,4,5,545,Champions,0,Regular Customers
12519,64,1,340.84000000000003,3,1,2,312,Potential Loyalists,0,Regular Customers
12520,79,6,2582.51,2,4,5,245,At Risk,0,Regular Customers
12521,143,1,599.68,2,1,3,213,Lost Customers,1,Lost Customers
12522,39,2,192.72,3,2,1,321,Potential Loyalists,0,Regular Customers
12523,2,13,1745.57,5,5,4,554,Champions,0,Regular Customers
12524,9,8,4485.72,5,5,5,555,Champions,0,Regular Customers
12526,1,3,1316.66,5,3,4,534,Loyal Customers,0,Regular Customers
12527,82,3,348.71000000000004,2,3,2,232,At Risk,0,Regular Customers
12528,9,8,1922.28,5,5,4,554,Champions,0,Regular Customers
12530,60,5,1623.63,3,4,4,344,Loyal Customers,0,Regular Customers
12531,15,1,125.22,4,1,1,411,New Customers,0,Regular Customers
12532,30,1,349.83000000000004,4,1,2,412,New Customers,0,Regular Customers
12534,131,1,1089.18,2,1,4,214,Lost Customers,0,Regular Customers
12535,92,2,716.35,2,2,3,223,Lost Customers,0,Regular Customers
12536,8,5,4106.82,5,4,5,545,Champions,0,Regular Customers
12538,29,1,363.95,4,1,2,412,New Customers,0,Regular Customers
12539,22,5,3852.5,4,4,5,445,Champions,0,Regular Customers
12540,20,19,13309.04,4,5,5,455,Champions,0,Regular Customers
12541,30,3,981.18,4,3,4,434,Loyal Customers,0,Regular Customers
12544,30,2,355.7,4,2,2,422,New Customers,0,Regular Customers
12545,75,2,1000.39,2,2,4,224,Lost Customers,0,Regular Customers
12546,47,3,1141.5,3,3,4,334,Loyal Customers,0,Regular Customers
12547,198,2,207.8,1,2,1,121,Lost Customers,1,Lost Customers
12548,166,1,95.2,2,1,1,211,Lost Customers,1,Lost Customers
12550,79,1,964.83,2,1,4,214,Lost Customers,0,Regular Customers
12551,358,1,168.0,1,1,1,111,Lost Customers,1,Lost Customers
12552,39,2,437.82,3,2,2,322,Potential Loyalists,0,Regular Customers
12553,8,14,3652.25,5,5,5,555,Champions,0,Regular Customers
12556,50,2,603.71,3,2,3,323,Potential Loyalists,0,Regular Customers
12557,16,5,11990.96,4,4,5,445,Champions,0,Regular Customers
12558,2,2,1.0658141036401504e-14,5,2,1,521,New Customers,0,Regular Customers
12559,311,3,536.21,1,3,3,133,At Risk,1,Lost Customers
12560,5,4,2101.39,5,3,5,535,Loyal Customers,0,Regular Customers
12561,303,1,238.85,1,1,1,111,Lost Customers,1,Lost Customers
12562,8,7,3781.74,5,4,5,545,Champions,0,Regular Customers
12564,261,1,456.9,1,1,2,112,Lost Customers,1,Lost Customers
12565,282,2,131.17,1,2,1,121,Lost Customers,1,Lost Customers
12566,73,2,346.7,2,2,2,222,Lost Customers,0,Regular Customers
12567,23,11,9114.94,4,5,5,455,Champions,0,Regular Customers
12569,2,35,4064.99,5,5,5,555,Champions,3,Loyal High Spenders
12571,40,2,519.61,3,2,3,323,Potential Loyalists,0,Regular Customers
12572,9,3,1004.72,5,3,4,534,Loyal Customers,0,Regular Customers
12573,227,1,160.54000000000002,1,1,1,111,Lost Customers,1,Lost Customers
12574,316,1,218.45,1,1,1,111,Lost Customers,1,Lost Customers
12576,36,6,1306.98,3,4,4,344,Loyal Customers,0,Regular Customers
12577,35,4,595.4,3,3,3,333,Loyal Customers,0,Regular Customers
12578,21,4,2753.36,4,3,5,435,Loyal Customers,0,Regular Customers
12579,73,3,410.72,2,3,2,232,At Risk,0,Regular Customers
12580,247,1,415.7,1,1,2,112,Lost Customers,1,Lost Customers
12581,40,1,197.71,3,1,1,311,Potential Loyalists,0,Regular Customers
12582,239,2,511.36,1,2,3,123,Lost Customers,1,Lost Customers
12583,3,18,7187.34,5,5,5,555,Champions,0,Regular Customers
12584,4,18,1893.95,5,5,4,554,Champions,0,Regular Customers
12585,234,4,1982.81,1,3,4,134,At Risk,1,Lost Customers
12586,17,2,179.94000000000003,4,2,1,421,New Customers,0,Regular Customers
12587,8,1,144.0,5,1,1,511,New Customers,0,Regular Customers
12588,39,1,214.9,3,1,1,311,Potential Loyalists,0,Regular Customers
12589,29,2,646.68,4,2,3,423,New Customers,0,Regular Customers
12590,190,3,9861.38,1,3,5,135,At Risk,1,Lost Customers
12591,317,1,452.85,1,1,2,112,Lost Customers,1,Lost Customers
12592,92,2,437.6,2,2,2,222,Lost Customers,0,Regular Customers
12593,109,3,418.1,2,3,2,232,At Risk,0,Regular Customers
12594,38,11,3320.2200000000003,3,5,5,355,Loyal Customers,0,Regular Customers
12596,51,2,618.27,3,2,3,323,Potential Loyalists,0,Regular Customers
12597,19,5,3683.13,4,4,5,445,Champions,0,Regular Customers
12598,10,9,3002.68,5,5,5,555,Champions,0,Regular Customers
12599,29,7,1032.58,4,4,4,444,Champions,0,Regular Customers
12600,29,11,2581.04,4,5,5,455,Champions,0,Regular Customers
12601,190,6,569.5600000000001,1,4,3,143,At Risk,1,Lost Customers
12602,59,1,153.12,3,1,1,311,Potential Loyalists,0,Regular Customers
12603,22,1,739.1999999999999,4,1,3,413,New Customers,0,Regular Customers
12604,79,2,254.18,2,2,2,222,Lost Customers,0,Regular Customers
12609,78,3,1126.85,2,3,4,234,At Risk,0,Regular Customers
12610,23,7,2057.99,4,4,5,445,Champions,0,Regular Customers
12611,52,1,1193.32,3,1,4,314,Potential Loyalists,0,Regular Customers
12612,58,2,643.59,3,2,3,323,Potential Loyalists,0,Regular Customers
12613,31,6,3218.98,4,4,5,445,Champions,0,Regular Customers
12614,278,1,315.6,1,1,2,112,Lost Customers,1,Lost Customers
12615,2,4,2291.19,5,3,5,535,Loyal Customers,0,Regular Customers
12616,85,5,657.25,2,4,3,243,At Risk,0,Regular Customers
12617,29,1,355.53000000000003,4,1,2,412,New Customers,0,Regular Customers
12618,22,1,177.31,4,1,1,411,New Customers,0,Regular Customers
12619,16,13,3214.81,4,5,5,455,Champions,0,Regular Customers
12620,15,3,1339.41,4,3,4,434,Loyal Customers,0,Regular Customers
12621,2,23,13612.07,5,5,5,555,Champions,3,Loyal High Spenders
12622,232,1,180.1,1,1,1,111,Lost Customers,1,Lost Customers
12623,276,1,305.1,1,1,2,112,Lost Customers,1,Lost Customers
12624,106,2,641.13,2,2,3,223,Lost Customers,0,Regular Customers
12625,212,3,2614.32,1,3,5,135,At Risk,1,Lost Customers
12626,23,13,6388.35,4,5,5,455,Champions,0,Regular Customers
12627,11,7,4478.53,5,4,5,545,Champions,0,Regular Customers
12628,4,4,769.61,5,3,3,533,Loyal Customers,0,Regular Customers
12630,10,2,1270.88,5,2,4,524,New Customers,0,Regular Customers
12631,57,1,640.5,3,1,3,313,Potential Loyalists,0,Regular Customers
12633,59,5,2140.63,3,4,5,345,Loyal Customers,0,Regular Customers
12635,90,2,1689.18,2,2,4,224,Lost Customers,0,Regular Customers
12637,67,10,5953.25,3,5,5,355,Loyal Customers,0,Regular Customers
12638,33,1,671.69,3,1,3,313,Potential Loyalists,0,Regular Customers
12639,239,1,486.1,1,1,3,113,Lost Customers,1,Lost Customers
12640,24,3,1174.58,4,3,4,434,Loyal Customers,0,Regular Customers
12641,115,1,185.9,2,1,1,211,Lost Customers,0,Regular Customers
12642,25,3,1013.26,4,3,4,434,Loyal Customers,0,Regular Customers
12643,128,6,3344.64,2,4,5,245,At Risk,0,Regular Customers
12644,130,1,477.91,2,1,2,212,Lost Customers,0,Regular Customers
12645,34,5,1755.38,3,4,4,344,Loyal Customers,0,Regular Customers
12646,5,2,1346.97,5,2,4,524,New Customers,0,Regular Customers
12647,22,13,3669.92,4,5,5,455,Champions,0,Regular Customers
12648,155,1,318.05,2,1,2,212,Lost Customers,1,Lost Customers
12649,107,4,603.71,2,3,3,233,At Risk,0,Regular Customers
12650,3,1,314.44,5,1,2,512,New Customers,0,Regular Customers
12651,335,1,114.0,1,1,1,111,Lost Customers,1,Lost Customers
12652,322,2,914.53,1,2,3,123,Lost Customers,1,Lost Customers
12653,149,2,2209.85,2,2,5,225,Lost Customers,1,Lost Customers
12654,11,5,601.98,5,4,3,543,Loyal Customers,0,Regular Customers
12656,17,8,3982.72,4,5,5,455,Champions,0,Regular Customers
12657,11,5,1152.06,5,4,4,544,Champions,0,Regular Customers
12658,19,1,686.05,4,1,3,413,New Customers,0,Regular Customers
12659,30,1,91.68,4,1,1,411,New Customers,0,Regular Customers
12660,11,1,245.1,5,1,1,511,New Customers,0,Regular Customers
12662,1,12,3817.08,5,5,5,555,Champions,0,Regular Customers
12664,8,10,4863.88,5,5,5,555,Champions,0,Regular Customers
12665,325,2,61.75,1,2,1,121,Lost Customers,1,Lost Customers
12667,58,1,620.13,3,1,3,313,Potential Loyalists,0,Regular Customers
12668,7,6,3743.18,5,4,5,545,Champions,0,Regular Customers
12669,151,4,1607.73,2,3,4,234,At Risk,1,Lost Customers
12670,10,6,2986.15,5,4,5,545,Champions,0,Regular Customers
12672,330,1,225.9,1,1,1,111,Lost Customers,1,Lost Customers
12673,5,2,610.52,5,2,3,523,New Customers,0,Regular Customers
12674,12,7,1919.31,4,4,4,444,Champions,0,Regular Customers
12676,25,6,1331.39,4,4,4,444,Champions,0,Regular Customers
12678,42,13,17588.26,3,5,5,355,Loyal Customers,0,Regular Customers
12679,52,9,1058.67,3,5,4,354,Loyal Customers,0,Regular Customers
12680,1,4,862.81,5,3,3,533,Loyal Customers,0,Regular Customers
12681,15,27,13677.59,4,5,5,455,Champions,3,Loyal High Spenders
12682,4,31,12288.22,5,5,5,555,Champions,3,Loyal High Spenders
12683,4,20,8221.09,5,5,5,555,Champions,0,Regular Customers
12684,8,7,2283.63,5,4,5,545,Champions,0,Regular Customers
12685,28,6,2863.08,4,4,5,445,Champions,0,Regular Customers
12686,372,1,89.14,1,1,1,111,Lost Customers,1,Lost Customers
12688,114,1,4873.8099999999995,2,1,5,215,Lost Customers,0,Regular Customers
12689,26,2,1247.61,4,2,4,424,New Customers,0,Regular Customers
12690,206,1,389.01,1,1,2,112,Lost Customers,1,Lost Customers
12691,28,6,1035.8,4,4,4,444,Champions,0,Regular Customers
12693,121,6,830.96,2,4,3,243,At Risk,0,Regular Customers
12694,70,2,869.67,3,2,3,323,Potential Loyalists,0,Regular Customers
12695,7,4,582.1,5,4,3,543,Loyal Customers,0,Regular Customers
12697,21,5,939.02,4,4,4,444,Champions,0,Regular Customers
12700,8,6,4867.99,5,4,5,545,Champions,0,Regular Customers
12701,80,2,797.71,2,2,3,223,Lost Customers,0,Regular Customers
12702,20,1,219.0,4,1,1,411,New Customers,0,Regular Customers
12703,64,2,274.7,3,2,2,322,Potential Loyalists,0,Regular Customers
12704,7,10,2220.84,5,5,5,555,Champions,0,Regular Customers
12705,15,14,6814.24,4,5,5,455,Champions,0,Regular Customers
12707,292,1,603.42,1,1,3,113,Lost Customers,1,Lost Customers
12708,30,16,2616.32,4,5,5,455,Champions,0,Regular Customers
12709,3,26,9294.1,5,5,5,555,Champions,3,Loyal High Spenders
12710,97,4,1130.57,2,4,4,244,At Risk,0,Regular Customers
12712,23,17,4241.63,4,5,5,455,Champions,0,Regular Customers
12713,1,1,848.55,5,1,3,513,New Customers,0,Regular Customers
12714,9,5,4708.86,5,4,5,545,Champions,0,Regular Customers
12715,106,1,353.86,2,1,2,212,Lost Customers,0,Regular Customers
12716,4,2,1053.49,5,2,4,524,New Customers,0,Regular Customers
12717,151,3,980.98,2,3,4,234,At Risk,1,Lost Customers
12718,71,1,238.25,2,1,1,211,Lost Customers,0,Regular Customers
12719,5,3,608.1,5,3,3,533,Loyal Customers,0,Regular Customers
12720,3,29,5713.28,5,5,5,555,Champions,3,Loyal High Spenders
12721,32,7,2628.98,3,4,5,345,Loyal Customers,0,Regular Customers
12722,85,6,904.33,2,4,3,243,At Risk,0,Regular Customers
12723,4,5,725.07,5,4,3,543,Loyal Customers,0,Regular Customers
12724,5,4,1031.41,5,4,4,544,Champions,0,Regular Customers
12725,371,1,427.8,1,1,2,112,Lost Customers,1,Lost Customers
12726,28,7,2609.1,4,4,5,445,Champions,0,Regular Customers
12727,11,9,3947.7,5,5,5,555,Champions,0,Regular Customers
12728,71,4,836.33,2,4,3,243,At Risk,0,Regular Customers
12729,114,1,453.01,2,1,2,212,Lost Customers,0,Regular Customers
12731,24,14,18793.41,4,5,5,455,Champions,0,Regular Customers
12732,180,1,236.26,1,1,1,111,Lost Customers,1,Lost Customers
12733,234,1,383.95,1,1,2,112,Lost Customers,1,Lost Customers
12734,353,1,110.4,1,1,1,111,Lost Customers,1,Lost Customers
12735,315,2,779.5699999999999,1,2,3,123,Lost Customers,1,Lost Customers
12736,333,1,234.0,1,1,1,111,Lost Customers,1,Lost Customers
12738,372,1,155.35,1,1,1,111,Lost Customers,1,Lost Customers
12739,78,2,1013.04,2,2,4,224,Lost Customers,0,Regular Customers
12740,64,1,427.6,3,1,2,312,Potential Loyalists,0,Regular Customers
12743,134,2,546.43,2,2,3,223,Lost Customers,0,Regular Customers
12744,52,10,9120.39,3,5,5,355,Loyal Customers,0,Regular Customers
12747,2,11,4196.01,5,5,5,555,Champions,0,Regular Customers
12748,1,224,29072.1,5,5,5,555,Champions,3,Loyal High Spenders
12749,4,8,3868.2,5,5,5,555,Champions,0,Regular Customers
12750,129,1,275.88,2,1,2,212,Lost Customers,0,Regular Customers
12752,81,1,4366.78,2,1,5,215,Lost Customers,0,Regular Customers
12753,4,11,21024.01,5,5,5,555,Champions,0,Regular Customers
12754,236,5,2949.12,1,4,5,145,At Risk,1,Lost Customers
12755,250,4,2203.2000000000003,1,4,5,145,At Risk,1,Lost Customers
12756,87,1,112.08,2,1,1,211,Lost Customers,0,Regular Customers
12757,16,19,4227.7,4,5,5,455,Champions,0,Regular Customers
12758,117,2,2791.59,2,2,5,225,Lost Customers,0,Regular Customers
12759,52,3,1531.44,3,3,4,334,Loyal Customers,0,Regular Customers
12762,8,2,1898.52,5,2,4,524,New Customers,0,Regular Customers
12763,138,2,494.08,2,2,3,223,Lost Customers,0,Regular Customers
12764,317,1,1693.88,1,1,4,114,Lost Customers,1,Lost Customers
12766,4,7,6989.63,5,4,5,545,Champions,0,Regular Customers
12769,239,1,1143.6,1,1,4,114,Lost Customers,1,Lost Customers
12770,211,1,1351.45,1,1,4,114,Lost Customers,1,Lost Customers
12772,60,1,892.47,3,1,3,313,Potential Loyalists,0,Regular Customers
12775,17,6,1351.24,4,4,4,444,Champions,0,Regular Customers
12778,20,7,804.23,4,4,3,443,Loyal Customers,0,Regular Customers
12779,21,12,3868.7,4,5,5,455,Champions,0,Regular Customers
12781,21,5,707.72,4,4,3,443,Loyal Customers,0,Regular Customers
12782,5,6,2273.32,5,4,5,545,Champions,0,Regular Customers
12783,2,8,1603.87,5,5,4,554,Champions,0,Regular Customers
12784,9,2,574.42,5,2,3,523,New Customers,0,Regular Customers
12785,3,2,305.71,5,2,2,522,New Customers,0,Regular Customers
12787,10,3,463.66,5,3,2,532,Potential Loyalists,0,Regular Customers
12789,65,1,91.85,3,1,1,311,Potential Loyalists,0,Regular Customers
12790,192,1,324.92,1,1,2,112,Lost Customers,1,Lost Customers
12791,374,1,192.6,1,1,1,111,Lost Customers,1,Lost Customers
12792,257,1,400.54,1,1,2,112,Lost Customers,1,Lost Customers
12793,335,2,545.48,1,2,3,123,Lost Customers,1,Lost Customers
12794,53,2,860.41,3,2,3,323,Potential Loyalists,0,Regular Customers
12795,19,1,430.48,4,1,2,412,New Customers,0,Regular Customers
12797,360,3,194.18,1,3,1,131,At Risk,1,Lost Customers
12798,10,3,6977.04,5,3,5,535,Loyal Customers,0,Regular Customers
12802,184,2,412.58,1,2,2,122,Lost Customers,1,Lost Customers
12808,37,3,483.65,3,3,3,333,Loyal Customers,0,Regular Customers
12809,168,2,484.36,2,2,3,223,Lost Customers,1,Lost Customers
12811,261,3,514.85,1,3,3,133,At Risk,1,Lost Customers
12812,45,1,229.64,3,1,1,311,Potential Loyalists,0,Regular Customers
12814,102,1,125.92,2,1,1,211,Lost Customers,0,Regular Customers
12815,148,2,1063.46,2,2,4,224,Lost Customers,1,Lost Customers
12816,96,2,572.2,2,2,3,223,Lost Customers,0,Regular Customers
12817,281,1,166.04,1,1,1,111,Lost Customers,1,Lost Customers
12818,178,2,1517.88,1,2,4,124,Lost Customers,1,Lost Customers
12820,3,4,942.34,5,4,4,544,Champions,0,Regular Customers
12821,214,1,92.72,1,1,1,111,Lost Customers,1,Lost Customers
12822,71,3,918.98,2,3,3,233,At Risk,0,Regular Customers
12823,75,5,1759.5,2,4,4,244,At Risk,0,Regular Customers
12824,60,1,397.12,3,1,2,312,Potential Loyalists,0,Regular Customers
12826,3,8,1468.12,5,5,4,554,Champions,0,Regular Customers
12827,6,3,430.15,5,3,2,532,Potential Loyalists,0,Regular Customers
12828,3,6,1018.71,5,4,4,544,Champions,0,Regular Customers
12829,322,3,253.05,1,3,2,132,At Risk,1,Lost Customers
12830,38,7,6748.4,3,4,5,345,Loyal Customers,0,Regular Customers
12831,262,1,215.05,1,1,1,111,Lost Customers,1,Lost Customers
12832,32,2,383.03,3,2,2,322,Potential Loyalists,0,Regular Customers
12833,145,1,417.38,2,1,2,212,Lost Customers,1,Lost Customers
12834,283,1,312.38,1,1,2,112,Lost Customers,1,Lost Customers
12836,59,4,2612.86,3,4,5,345,Loyal Customers,0,Regular Customers
12837,173,1,134.1,2,1,1,211,Lost Customers,1,Lost Customers
12838,34,2,683.13,3,2,3,323,Potential Loyalists,0,Regular Customers
12839,3,16,5583.62,5,5,5,555,Champions,0,Regular Customers
12840,144,6,2714.27,2,4,5,245,At Risk,0,Regular Customers
12841,5,26,3876.4,5,5,5,555,Champions,0,Regular Customers
12842,70,2,1118.99,3,2,4,324,Potential Loyalists,0,Regular Customers
12843,66,9,1680.76,3,5,4,354,Loyal Customers,0,Regular Customers
12844,29,2,325.96000000000004,4,2,2,422,New Customers,0,Regular Customers
12845,267,4,354.09000000000003,1,4,2,142,At Risk,1,Lost Customers
12847,22,1,871.54,4,1,3,413,New Customers,0,Regular Customers
12849,31,2,1050.89,4,2,4,424,New Customers,0,Regular Customers
